address,longitude,city,state,zip,Store,latitude
2021 E Independence St MO 65804,-93.25843,Springfield,MO,65804,McDonald's,37.144143298
1925 E Marsa Dr MO 65804,-93.258803,Springfield,MO,65804,McDonald's,37.187148299
4022 W Republic Rd MO 65807,-93.363248,Springfield,MO,65807,McDonald's,37.13867800000001300
1717 W Battlefield St MO 65807,-93.314572,Springfield,MO,65807,McDonald's,37.160322301
4101 S Campbell Ave MO 65807,-93.296952,Springfield,MO,65807,McDonald's,37.139864302
501 W Sunshine St MO 65807,-93.296782,Springfield,MO,65807,McDonald's,37.18275303
1935 S Campbell Ave MO 65807,-93.29694,Springfield,MO,65807,McDonald's,37.180022304
1160 S 5th St MO 63301,-90.491389,Saint Charles,MO,63301,McDonald's,38.77259324
3701 Elm St MO 63301,-90.513964,Saint Charles,MO,63301,McDonald's,38.819366325
740 S Duchesne Dr MO 63301,-90.513649,Saint Charles,MO,63301,McDonald's,38.788217327
1890 Zumbehl Rd MO 63303,-90.53006,Saint Charles,MO,63303,McDonald's,38.779081328
24 Harvester Sq MO 63303,-90.578506,Saint Charles,MO,63303,McDonald's,38.746512329
6251 Mid Rivers Mall Dr MO 63304,-90.634475,Saint Peters,MO,63304,McDonald's,38.739562332
1450 N Main St MO 63077,-90.977549,Saint Clair,MO,63077,McDonald's,38.360676344
3417 S Belt Hwy MO 64503,-94.800489,Saint Joseph,MO,64503,McDonald's,39.734195348
4219 Us 169 S MO 64503,-94.789852,Saint Joseph,MO,64503,McDonald's,39.724825349
6018 Lake Ave MO 64504,-94.870889,Saint Joseph,MO,64504,McDonald's,39.714051350
6108 Lake Ave MO 64504,-94.872715,Saint Joseph,MO,64504,McDonald's,39.71324600000001351
3504 N Belt Hwy MO 64506,-94.816057,Saint Joseph,MO,64506,McDonald's,39.80195300000001352
1311 N Belt Hwy MO 64506,-94.802583,Saint Joseph,MO,64506,McDonald's,39.779157355
601 N Belt Hwy MO 64506,-94.802982,Saint Joseph,MO,64506,McDonald's,39.771327356
1310 S Riverside Rd MO 64507,-94.769145,Saint Joseph,MO,64507,McDonald's,39.754066359
1119 N Tucker Blvd MO 63101,-90.195157,Saint Louis,MO,63101,McDonald's,38.636526374
700 Olive St MO 63101,-90.191537,Saint Louis,MO,63101,McDonald's,38.628171375
1919 S Jefferson Ave MO 63104,-90.221926,Saint Louis,MO,63104,McDonald's,38.612601376
4006 Lindell Blvd MO 63108,-90.243727,Saint Louis,MO,63108,McDonald's,38.639077379
4620 S Kingshighway Blvd MO 63109,-90.275726,Saint Louis,MO,63109,McDonald's,38.586273382
4200 Hampton Ave MO 63109,-90.293683,Saint Louis,MO,63109,McDonald's,38.593036383
4420 S Broadway MO 63111,-90.233347,Saint Louis,MO,63111,McDonald's,38.575246384
4979 Natural Bridge Ave MO 63115,-90.250613,Saint Louis,MO,63115,McDonald's,38.676332385
7241 Gravois Ave MO 63116,-90.293637,Saint Louis,MO,63116,McDonald's,38.564766386
3737 S Grand Blvd MO 63118,-90.244496,Saint Louis,MO,63118,McDonald's,38.58915387
1420 Hampton Ave MO 63139,-90.287486,Saint Louis,MO,63139,McDonald's,38.624505388
905 Jungermann Rd MO 63376,-90.581873,Saint Peters,MO,63376,McDonald's,38.773054404
7890 Mexico Rd MO 63376,-90.66165,Saint Peters,MO,63376,McDonald's,38.787619405
3883 Veterans Memorial Parkway MO 63376,-90.563345,Saint Peters,MO,63376,McDonald's,38.79172406
1200 Mid Rivers Mall MO 63376,-90.618679,Saint Peters,MO,63376,McDonald's,38.798155408
3883 Veterans Memorial Pkwy MO 63376,-90.563345,Saint Peters,MO,63376,McDonald's,38.79172409
299 Mid Rivers Mall Dr MO 63376,-90.623212,Saint Peters,MO,63376,McDonald's,38.794365410
199 Spencer Rd MO 63376,-90.60576,Saint Peters,MO,63376,McDonald's,38.790963412
998 Knaust Rd MO 63376,-90.653145,Saint Peters,MO,63376,McDonald's,38.760143414
311 E Young Ave MO 64093,-93.735356,Warrensburg,MO,64093,McDonald's,38.771232426
301 E Cooper St MO 64093,-93.737229,Warrensburg,MO,64093,McDonald's,38.779285427
1320 Porter Wagoner Blvd MO 65775,-91.870706,West Plains,MO,65775,McDonald's,36.74057430
1315 Preacher Roe Blvd MO 65775,-91.874536,West Plains,MO,65775,McDonald's,36.714687431
602 S Harris St MO 65793,-91.976098,Willow Springs,MO,65793,McDonald's,36.985829434
607 N Harris St MO 65793,-91.966163,Willow Springs,MO,65793,McDonald's,36.995005435
